disease,url
Trans fat,https://www.who.int/news-room/fact-sheets/detail/trans-fat
Trichomoniasis,https://www.who.int/news-room/fact-sheets/detail/trichomoniasis
"Trypanosomiasis, human African (sleeping sickness)",https://www.who.int/news-room/fact-sheets/detail/trypanosomiasis-human-african-(sleeping-sickness)
Tuberculosis,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Tungiasis,https://www.who.int/news-room/fact-sheets/detail/tungiasis
Typhoid,https://www.who.int/news-room/fact-sheets/detail/typhoid
Ultraviolet radiation,https://www.who.int/news-room/fact-sheets/detail/ultraviolet-radiation
Universal health coverage (UHC),https://www.who.int/news-room/fact-sheets/detail/universal-health-coverage-(uhc)
Urban health,https://www.who.int/news-room/fact-sheets/detail/urban-health
Vector-borne diseases,https://www.who.int/news-room/fact-sheets/detail/vector-borne-diseases
Violence against children,https://www.who.int/news-room/fact-sheets/detail/violence-against-children
Violence against women,https://www.who.int/news-room/fact-sheets/detail/violence-against-women
West Nile virus,https://www.who.int/news-room/fact-sheets/detail/west-nile-virus
White phosphorus,https://www.who.int/news-room/fact-sheets/detail/white-phosphorus
Yaws,https://www.who.int/news-room/fact-sheets/detail/yaws
Yellow fever,https://www.who.int/news-room/fact-sheets/detail/yellow-fever
Youth violence,https://www.who.int/news-room/fact-sheets/detail/youth-violence
Zika virus,https://www.who.int/news-room/fact-sheets/detail/zika-virus
Zoonoses,https://www.who.int/news-room/fact-sheets/detail/zoonoses
